TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
13.68,15.1,1783506142910,1783506139554
13.70,9.1,1783506142943,1783506139581
13.73,4.1,1783506142976,1783506139609
13.77,12.1,1783506143010,1783506139651
13.80,7.1,1783506143044,1783506139680
13.84,15.1,1783506143077,1783506139721
13.87,8.1,1783506143111,1783506139748
13.91,16.1,1783506143145,1783506139790
13.94,10.1,1783506143179,1783506139818
13.98,18.1,1783506143213,1783506139860
14.01,15.1,1783506143245,1783506139889
14.04,9.1,1783506143278,1783506139916
14.08,14.1,1783506143314,1783506139957
14.11,11.1,1783506143346,1783506139986
14.14,6.1,1783506143379,1783506140014
14.18,11.1,1783506143414,1783506140054
14.21,7.1,1783506143447,1783506140083
14.25,16.1,1783506143480,1783506140125
14.28,10.1,1783506143514,1783506140153
14.30,4.1,1783506143548,1783506140181
14.35,11.1,1783506143582,1783506140222
14.37,6.1,1783506143615,1783506140250
14.42,15.1,1783506143648,1783506140292
14.44,10.1,1783506143681,1783506140320
14.47,3.1,1783506143715,1783506140347
14.51,11.1,1783506143750,1783506140390
14.54,6.1,1783506143783,1783506140418
14.58,15.1,1783506143816,1783506140460
14.61,8.1,1783506143850,1783506140487
14.65,15.1,1783506143884,1783506140528
14.68,10.1,1783506143917,1783506140556
14.71,4.1,1783506143951,1783506140584
14.75,13.1,1783506143984,1783506140626
14.78,7.1,1783506144018,1783506140654
14.82,15.1,1783506144052,1783506140696
14.85,9.1,1783506144086,1783506140724
14.89,17.1,1783506144119,1783506140765
14.92,13.1,1783506144152,1783506140794
14.94,6.1,1783506144186,1783506140821
14.99,15.1,1783506144219,1783506140863
15.01,8.1,1783506144254,1783506140891
15.06,16.1,1783506144287,1783506140932
15.08,10.5,1783506144321,1783506140961
15.11,4.5,1783506144354,1783506140988
15.15,13.5,1783506144387,1783506141030
15.18,6.5,1783506144422,1783506141058
15.22,14.5,1783506144455,1783506141099
15.25,9.5,1783506144489,1783506141128
15.29,18.5,1783506144522,1783506141170
15.32,13.5,1783506144555,1783506141198
15.35,5.5,1783506144590,1783506141225
15.39,13.5,1783506144623,1783506141266
15.42,9.5,1783506144656,1783506141295
15.45,3.5,1783506144690,1783506141323
15.49,11.5,1783506144724,1783506141365
15.52,5.5,1783506144757,1783506141392
15.56,13.5,1783506144791,1783506141434
15.59,7.5,1783506144825,1783506141462
15.63,14.5,1783506144859,1783506141503
15.66,9.5,1783506144892,1783506141531
15.68,3.5,1783506144926,1783506141559
15.72,12.5,1783506144959,1783506141601
15.75,7.5,1783506144992,1783506141629
15.79,15.5,1783506145026,1783506141671
15.82,10.5,1783506145059,1783506141699
15.85,4.5,1783506145092,1783506141726
15.89,12.5,1783506145126,1783506141768
15.92,5.5,1783506145160,1783506141795
15.96,14.5,1783506145193,1783506141837
15.99,9.5,1783506145227,1783506141866
16.03,17.5,1783506145260,1783506141907
16.06,9.5,1783506145295,1783506141934
16.09,4.5,1783506145329,1783506141963
16.13,12.5,1783506145362,1783506142004
16.16,7.5,1783506145396,1783506142033
16.19,3.5,1783506145429,1783506142062
16.22,3.5,1783506145463,1783506142096
16.25,2.5,1783506145496,1783506142128
16.30,16.5,1783506145530,1783506142176
16.32,8.5,1783506145563,1783506142201
16.36,3.5,1783506145598,1783506142231
16.39,2.5,1783506145631,1783506142263
16.43,8.5,1783506145665,1783506142303
16.46,9.5,1783506145698,1783506142337
16.49,6.5,1783506145732,1783506142368
16.52,5.5,1783506145765,1783506142400
16.57,16.5,1783506145800,1783506142446
16.59,9.5,1783506145832,1783506142471
16.63,6.5,1783506145866,1783506142502
16.66,12.5,1783506145899,1783506142541
16.70,9.5,1783506145933,1783506142572
16.73,13.5,1783506145967,1783506142610
16.77,13.5,1783506146000,1783506142643
16.79,4.5,1783506146033,1783506142667
16.83,10.5,1783506146067,1783506142707
16.86,7.5,1783506146101,1783506142738
16.89,5.5,1783506146135,1783506142770
16.92,2.5,1783506146168,1783506142800
16.96,8.5,1783506146202,1783506142840
16.99,5.5,1783506146236,1783506142871
17.03,4.5,1783506146269,1783506142903
17.07,11.5,1783506146302,1783506142943
17.10,9.4,1783506146336,1783506142975
17.13,6.4,1783506146370,1783506143006
17.16,5.4,1783506146403,1783506143038
17.20,10.4,1783506146436,1783506143076
17.23,6.4,1783506146471,1783506143107
17.26,5.4,1783506146504,1783506143139
17.30,4.4,1783506146538,1783506143172
17.33,3.4,1783506146571,1783506143204
17.37,8.4,1783506146605,1783506143243
17.40,7.4,1783506146639,1783506143276
17.43,5.4,1783506146672,1783506143307
17.47,10.4,1783506146706,1783506143346
17.50,8.4,1783506146739,1783506143377
17.53,5.4,1783506146774,1783506143409
17.56,4.4,1783506146806,1783506143440
17.60,2.4,1783506146840,1783506143472
17.64,7.4,1783506146874,1783506143511
17.67,5.4,1783506146907,1783506143542
17.71,12.4,1783506146941,1783506143583
17.74,10.4,1783506146974,1783506143614
17.77,8.4,1783506147009,1783506143647
17.80,6.4,1783506147042,1783506143678
17.83,5.4,1783506147076,1783506143711
17.87,4.4,1783506147108,1783506143742
17.90,2.4,1783506147143,1783506143775
17.94,8.4,1783506147176,1783506143814
17.97,5.4,1783506147210,1783506143845
18.00,4.4,1783506147244,1783506143878
18.04,11.4,1783506147276,1783506143917
18.07,7.4,1783506147311,1783506143948
18.10,5.4,1783506147345,1783506143980
18.13,2.4,1783506147378,1783506144010
18.17,8.4,1783506147412,1783506144050
18.20,6.4,1783506147445,1783506144081
18.24,3.4,1783506147479,1783506144112
18.28,10.4,1783506147512,1783506144152
18.31,8.4,1783506147545,1783506144183
18.34,6.4,1783506147579,1783506144215
18.37,3.4,1783506147613,1783506144246
18.41,11.4,1783506147647,1783506144288
