TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
13.80,10.7,1783509320784,1783509317433
13.83,3.7,1783509320817,1783509317459
13.86,1.7,1783509320851,1783509317491
13.90,4.7,1783509320884,1783509317527
13.93,1.7,1783509320918,1783509317558
13.96,1.7,1783509320951,1783509317591
14.00,8.7,1783509320985,1783509317632
14.03,7.7,1783509321019,1783509317665
14.07,5.7,1783509321053,1783509317697
14.10,4.7,1783509321086,1783509317729
14.13,2.7,1783509321120,1783509317761
14.16,1.7,1783509321153,1783509317793
14.20,8.7,1783509321187,1783509317834
14.24,7.7,1783509321221,1783509317867
14.27,6.7,1783509321255,1783509317900
14.30,5.7,1783509321288,1783509317932
14.43,101.7,1783509321322,1783509318062
14.43,67.7,1783509321356,1783509318062
14.43,34.7,1783509321389,1783509318062
14.43,1.7,1783509321422,1783509318062
14.46,0.7,1783509321456,1783509318095
14.51,7.7,1783509321490,1783509318136
14.54,6.7,1783509321524,1783509318169
14.57,5.7,1783509321558,1783509318202
14.60,4.7,1783509321591,1783509318234
14.64,4.7,1783509321624,1783509318267
14.67,4.7,1783509321656,1783509318299
14.70,2.7,1783509321691,1783509318332
14.74,12.7,1783509321724,1783509318375
14.77,1.7,1783509321758,1783509318398
14.80,0.7,1783509321792,1783509318431
14.84,7.7,1783509321826,1783509318472
14.87,7.7,1783509321859,1783509318505
14.91,6.7,1783509321892,1783509318537
14.94,5.7,1783509321926,1783509318570
14.97,5.7,1783509321959,1783509318603
15.00,3.7,1783509321993,1783509318635
15.04,3.7,1783509322027,1783509318669
15.07,2.7,1783509322061,1783509318702
15.10,0.7,1783509322095,1783509318734
15.14,7.7,1783509322128,1783509318774
15.17,0.4,1783509322161,1783509318799
15.21,6.4,1783509322195,1783509318839
15.24,5.4,1783509322228,1783509318871
15.27,4.4,1783509322263,1783509318905
15.31,10.4,1783509322297,1783509318945
15.34,3.4,1783509322329,1783509318970
15.37,1.4,1783509322363,1783509319002
15.41,9.4,1783509322397,1783509319044
15.44,7.4,1783509322431,1783509319076
15.48,4.4,1783509322465,1783509319107
15.51,4.4,1783509322498,1783509319140
15.54,2.4,1783509322532,1783509319172
15.57,3.4,1783509322565,1783509319206
15.61,2.4,1783509322598,1783509319238
15.65,9.4,1783509322632,1783509319279
15.68,8.4,1783509322665,1783509319311
15.72,14.4,1783509322699,1783509319351
15.75,4.4,1783509322734,1783509319376
15.78,4.4,1783509322766,1783509319408
15.81,5.4,1783509322800,1783509319443
15.85,4.4,1783509322835,1783509319477
15.88,3.4,1783509322867,1783509319508
15.91,2.4,1783509322901,1783509319541
15.95,10.4,1783509322934,1783509319582
15.98,10.4,1783509322967,1783509319615
16.02,10.4,1783509323001,1783509319649
16.04,1.4,1783509323034,1783509319673
16.08,0.4,1783509323068,1783509319706
16.12,5.4,1783509323103,1783509319746
16.16,11.4,1783509323137,1783509319786
16.18,4.4,1783509323168,1783509319810
16.21,3.4,1783509323202,1783509319843
16.24,0.4,1783509323237,1783509319875
16.29,9.4,1783509323270,1783509319917
16.32,7.4,1783509323304,1783509319949
16.35,4.4,1783509323339,1783509319981
16.38,3.4,1783509323372,1783509320013
16.42,2.4,1783509323406,1783509320046
16.46,10.4,1783509323439,1783509320087
16.49,8.4,1783509323474,1783509320120
16.51,1.4,1783509323505,1783509320144
16.55,5.4,1783509323541,1783509320184
16.58,0.4,1783509323572,1783509320210
16.62,5.4,1783509323607,1783509320250
16.66,13.4,1783509323640,1783509320291
16.69,4.4,1783509323674,1783509320316
16.72,5.4,1783509323706,1783509320349
16.76,13.4,1783509323741,1783509320392
16.79,5.4,1783509323773,1783509320416
16.82,6.4,1783509323806,1783509320450
16.87,19.4,1783509323841,1783509320498
16.88,2.4,1783509323874,1783509320514
16.92,8.4,1783509323908,1783509320554
16.97,25.4,1783509323941,1783509320604
16.99,7.4,1783509323975,1783509320620
17.02,6.4,1783509324009,1783509320653
17.05,4.4,1783509324043,1783509320685
17.09,5.4,1783509324076,1783509320719
17.12,3.4,1783509324110,1783509320751
17.17,18.4,1783509324144,1783509320800
17.19,1.4,1783509324177,1783509320816
17.23,8.4,1783509324210,1783509320856
17.28,25.4,1783509324243,1783509320906
17.29,5.4,1783509324279,1783509320922
17.32,7.4,1783509324310,1783509320955
17.36,4.4,1783509324345,1783509320987
17.39,5.4,1783509324378,1783509321021
17.42,3.4,1783509324412,1783509321053
17.46,3.4,1783509324445,1783509321086
17.54,58.4,1783509324479,1783509321175
17.54,25.4,1783509324512,1783509321175
17.56,6.4,1783509324547,1783509321191
17.59,7.4,1783509324579,1783509321224
17.63,4.4,1783509324614,1783509321256
17.66,2.4,1783509324648,1783509321288
17.69,3.4,1783509324680,1783509321321
17.73,9.4,1783509324715,1783509321362
17.76,0.4,1783509324748,1783509321386
17.80,9.4,1783509324781,1783509321428
17.83,7.4,1783509324814,1783509321459
17.86,6.4,1783509324848,1783509321492
17.89,4.4,1783509324884,1783509321526
17.93,2.4,1783509324918,1783509321558
17.96,2.4,1783509324950,1783509321590
17.99,3.4,1783509324984,1783509321625
18.03,10.4,1783509325017,1783509321665
18.07,10.4,1783509325050,1783509321698
18.11,17.4,1783509325085,1783509321740
18.13,9.4,1783509325117,1783509321764
18.17,6.4,1783509325152,1783509321796
18.20,5.4,1783509325186,1783509321829
18.23,6.4,1783509325218,1783509321862
18.27,7.4,1783509325251,1783509321896
18.30,5.4,1783509325286,1783509321929
18.33,4.4,1783509325319,1783509321961
18.37,10.4,1783509325353,1783509322001
18.40,7.4,1783509325388,1783509322033
18.43,0.4,1783509325420,1783509322058
18.47,6.4,1783509325454,1783509322098
18.50,5.4,1783509325488,1783509322131
18.53,5.4,1783509325521,1783509322164
18.57,2.4,1783509325556,1783509322196
18.60,3.4,1783509325589,1783509322230
18.63,4.4,1783509325622,1783509322264
18.67,2.4,1783509325656,1783509322296
18.71,9.4,1783509325690,1783509322337
18.73,1.4,1783509325723,1783509322362
18.77,6.4,1783509325758,1783509322402
18.81,14.4,1783509325790,1783509322442
18.84,6.4,1783509325824,1783509322468
18.87,8.4,1783509325858,1783509322504
18.93,32.4,1783509325891,1783509322561
18.99,59.4,1783509325924,1783509322621
18.99,26.4,1783509325958,1783509322622
19.05,47.4,1783509325991,1783509322676
19.05,13.4,1783509326025,1783509322676
19.09,19.4,1783509326059,1783509322716
19.11,13.4,1783509326093,1783509322744
19.14,9.4,1783509326125,1783509322772
19.18,13.7,1783509326160,1783509322811
19.22,21.7,1783509326193,1783509322852
19.24,2.7,1783509326226,1783509322866
19.27,7.7,1783509326260,1783509322905
19.32,18.7,1783509326294,1783509322950
19.33,-0.3,1783509326327,1783509322964
19.38,7.7,1783509326361,1783509323006
19.43,29.7,1783509326394,1783509323061
19.44,9.7,1783509326428,1783509323075
19.47,3.7,1783509326461,1783509323102
19.50,-1.3,1783509326495,1783509323131
19.54,5.7,1783509326529,1783509323172
19.58,14.7,1783509326563,1783509323215
19.61,8.7,1783509326597,1783509323243
19.64,0.7,1783509326632,1783509323270
19.68,10.7,1783509326663,1783509323311
19.74,32.7,1783509326697,1783509323367
19.75,12.7,1783509326731,1783509323381
19.78,7.7,1783509326764,1783509323409
19.81,1.7,1783509326798,1783509323437
19.85,6.7,1783509326835,1783509323479
19.88,3.7,1783509326866,1783509323507
19.92,12.7,1783509326899,1783509323549
19.95,6.7,1783509326933,1783509323577
20.00,28.7,1783509326966,1783509323632
20.02,10.7,1783509326999,1783509323647
20.06,17.7,1783509327033,1783509323688
20.09,12.7,1783509327067,1783509323717
20.11,6.7,1783509327100,1783509323744
20.16,13.7,1783509327135,1783509323786
20.18,9.7,1783509327167,1783509323814
20.22,16.7,1783509327201,1783509323855
20.25,12.7,1783509327234,1783509323884
20.28,4.7,1783509327268,1783509323910
20.31,-1.3,1783509327302,1783509323938
20.35,8.7,1783509327335,1783509323981
20.38,2.7,1783509327369,1783509324009
20.42,9.7,1783509327403,1783509324050
20.46,16.7,1783509327438,1783509324092
20.49,12.7,1783509327470,1783509324120
20.52,8.7,1783509327503,1783509324149
20.56,14.7,1783509327538,1783509324190
20.59,9.7,1783509327570,1783509324217
20.62,3.7,1783509327605,1783509324246
20.66,10.7,1783509327639,1783509324287
20.68,7.7,1783509327671,1783509324316
20.71,1.7,1783509327704,1783509324343
20.77,22.7,1783509327739,1783509324399
20.78,3.7,1783509327772,1783509324413
20.82,11.7,1783509327805,1783509324454
20.87,18.7,1783509327840,1783509324496
20.89,15.7,1783509327872,1783509324525
20.92,7.7,1783509327907,1783509324552
20.96,16.7,1783509327940,1783509324594
20.99,12.7,1783509327972,1783509324622
21.02,5.7,1783509328007,1783509324650
21.06,14.7,1783509328040,1783509324692
21.09,7.7,1783509328074,1783509324719
21.13,16.7,1783509328107,1783509324761
21.17,25.7,1783509328141,1783509324804
21.19,5.4,1783509328174,1783509324817
21.23,13.4,1783509328208,1783509324859
21.27,20.4,1783509328242,1783509324900
21.30,15.4,1783509328276,1783509324929
21.33,9.4,1783509328309,1783509324956
21.35,4.4,1783509328343,1783509324985
21.40,11.4,1783509328377,1783509325026
21.42,5.4,1783509328411,1783509325054
21.48,27.4,1783509328444,1783509325109
21.49,9.4,1783509328477,1783509325124
21.53,17.4,1783509328511,1783509325166
21.58,24.4,1783509328545,1783509325207
21.59,4.4,1783509328578,1783509325220
21.62,-0.6,1783509328612,1783509325249
21.69,36.4,1783509328645,1783509325319
21.70,16.4,1783509328679,1783509325333
21.73,11.4,1783509328712,1783509325361
21.76,4.4,1783509328746,1783509325388
21.80,11.4,1783509328781,1783509325430
21.83,7.4,1783509328813,1783509325458
21.88,29.4,1783509328846,1783509325513
21.90,10.4,1783509328880,1783509325528
21.93,4.4,1783509328914,1783509325556
21.97,12.4,1783509328947,1783509325597
21.99,6.4,1783509328981,1783509325625
22.04,14.4,1783509329015,1783509325667
22.06,9.4,1783509329048,1783509325695
22.09,3.4,1783509329082,1783509325723
22.13,11.4,1783509329115,1783509325764
22.16,5.4,1783509329150,1783509325793
22.20,14.4,1783509329183,1783509325835
22.23,8.4,1783509329216,1783509325862
22.26,3.4,1783509329249,1783509325890
22.30,11.4,1783509329283,1783509325932
22.33,4.4,1783509329317,1783509325959
22.36,-0.6,1783509329350,1783509325987
22.40,6.4,1783509329385,1783509326029
22.43,1.4,1783509329418,1783509326057
22.47,10.4,1783509329451,1783509326099
22.50,5.4,1783509329484,1783509326127
22.54,11.4,1783509329519,1783509326168
22.57,6.4,1783509329552,1783509326196
22.59,1.4,1783509329585,1783509326224
22.64,9.4,1783509329619,1783509326266
22.66,2.4,1783509329654,1783509326294
22.70,10.4,1783509329687,1783509326335
22.73,6.4,1783509329720,1783509326364
22.77,14.4,1783509329753,1783509326405
22.80,7.4,1783509329788,1783509326433
22.84,16.4,1783509329821,1783509326475
22.87,11.4,1783509329854,1783509326503
22.91,18.4,1783509329888,1783509326544
22.93,-0.6,1783509329921,1783509326558
22.97,7.4,1783509329955,1783509326600
23.01,16.4,1783509329988,1783509326642
23.04,10.4,1783509330022,1783509326670
23.07,5.4,1783509330055,1783509326698
23.11,13.4,1783509330089,1783509326740
23.14,5.4,1783509330124,1783509326767
23.18,14.5,1783509330157,1783509326809
23.21,8.5,1783509330191,1783509326837
23.23,3.5,1783509330224,1783509326865
23.28,11.5,1783509330258,1783509326907
23.32,19.5,1783509330292,1783509326949
23.35,13.5,1783509330326,1783509326977
23.37,6.5,1783509330360,1783509327004
23.42,15.5,1783509330393,1783509327046
23.44,9.5,1783509330427,1783509327074
23.47,4.5,1783509330460,1783509327102
23.51,13.5,1783509330493,1783509327144
23.54,6.5,1783509330527,1783509327171
23.57,1.5,1783509330560,1783509327199
23.61,9.5,1783509330594,1783509327241
23.64,2.5,1783509330628,1783509327268
23.68,12.5,1783509330661,1783509327311
23.71,6.5,1783509330694,1783509327338
23.76,28.5,1783509330728,1783509327394
23.78,7.5,1783509330762,1783509327407
23.81,2.5,1783509330795,1783509327435
23.85,10.5,1783509330829,1783509327477
23.87,4.5,1783509330863,1783509327505
23.92,13.5,1783509330896,1783509327547
23.94,6.5,1783509330931,1783509327575
23.99,15.5,1783509330964,1783509327617
24.01,8.5,1783509330998,1783509327644
24.04,4.5,1783509331030,1783509327672
24.08,13.5,1783509331063,1783509327714
24.11,6.5,1783509331098,1783509327742
24.14,1.5,1783509331131,1783509327770
24.18,10.5,1783509331164,1783509327812
24.21,2.5,1783509331199,1783509327839
24.26,24.5,1783509331233,1783509327895
24.28,4.5,1783509331266,1783509327908
24.32,14.5,1783509331299,1783509327951
24.35,5.5,1783509331335,1783509327978
24.38,1.5,1783509331367,1783509328006
24.42,10.5,1783509331401,1783509328049
24.45,5.5,1783509331433,1783509328076
24.47,-0.5,1783509331467,1783509328104
24.52,7.5,1783509331501,1783509328146
24.56,14.5,1783509331535,1783509328187
24.58,9.5,1783509331568,1783509328215
24.61,3.5,1783509331602,1783509328243
24.65,10.5,1783509331636,1783509328284
24.70,18.5,1783509331670,1783509328326
24.72,15.5,1783509331702,1783509328355
24.75,8.5,1783509331736,1783509328382
24.78,2.5,1783509331770,1783509328410
24.82,11.5,1783509331803,1783509328452
24.86,20.5,1783509331836,1783509328494
24.88,0.5,1783509331870,1783509328508
24.92,6.5,1783509331905,1783509328549
24.97,26.5,1783509331941,1783509328605
24.99,10.5,1783509331971,1783509328619
25.02,2.5,1783509332006,1783509328646
25.06,12.5,1783509332039,1783509328689
25.09,6.5,1783509332072,1783509328716
25.13,14.5,1783509332106,1783509328758
25.16,9.5,1783509332139,1783509328786
25.21,32.1,1783509332173,1783509328842
25.23,12.1,1783509332207,1783509328856
25.27,21.1,1783509332240,1783509328898
25.29,15.1,1783509332273,1783509328925
25.32,9.1,1783509332307,1783509328953
25.36,17.1,1783509332341,1783509328995
25.39,12.1,1783509332374,1783509329023
25.43,19.1,1783509332408,1783509329064
25.48,27.1,1783509332442,1783509329106
25.49,8.1,1783509332475,1783509329120
25.53,16.1,1783509332509,1783509329162
25.57,23.1,1783509332543,1783509329203
25.59,4.1,1783509332577,1783509329218
25.61,-0.9,1783509332609,1783509329245
25.67,21.1,1783509332643,1783509329301
25.70,15.1,1783509332676,1783509329328
25.73,10.1,1783509332710,1783509329357
25.78,32.1,1783509332744,1783509329413
25.80,12.1,1783509332778,1783509329427
25.82,6.1,1783509332811,1783509329454
25.88,27.1,1783509332845,1783509329509
25.89,9.1,1783509332878,1783509329524
25.92,4.1,1783509332911,1783509329552
25.96,11.1,1783509332946,1783509329594
25.99,5.1,1783509332979,1783509329621
26.03,14.1,1783509333013,1783509329664
26.06,10.1,1783509333045,1783509329692
26.10,15.1,1783509333081,1783509329733
26.13,9.1,1783509333114,1783509329760
26.16,4.1,1783509333147,1783509329788
26.20,12.1,1783509333181,1783509329830
26.23,7.1,1783509333215,1783509329859
26.26,2.1,1783509333248,1783509329887
26.30,9.1,1783509333282,1783509329928
26.33,3.1,1783509333316,1783509329956
26.37,11.1,1783509333349,1783509329997
26.40,6.1,1783509333383,1783509330026
26.44,12.1,1783509333417,1783509330066
26.47,11.1,1783509333449,1783509330097
26.51,15.1,1783509333485,1783509330137
26.53,12.1,1783509333516,1783509330165
26.56,6.1,1783509333550,1783509330193
26.60,12.1,1783509333584,1783509330233
26.63,8.1,1783509333618,1783509330263
26.67,16.1,1783509333651,1783509330304
26.70,11.1,1783509333684,1783509330332
26.73,4.1,1783509333718,1783509330359
26.77,12.1,1783509333752,1783509330401
26.81,19.1,1783509333786,1783509330442
26.84,15.1,1783509333819,1783509330471
26.87,9.1,1783509333853,1783509330499
26.91,17.1,1783509333886,1783509330540
26.94,10.1,1783509333921,1783509330568
26.97,5.1,1783509333954,1783509330596
27.01,13.1,1783509333988,1783509330638
