TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
13.69,-0.7,1784228756225,1784228753576
13.72,-7.7,1784228756260,1784228753604
13.76,-0.7,1784228756294,1784228753645
13.79,-3.7,1784228756326,1784228753674
13.83,0.3,1784228756363,1784228753715
13.86,-3.7,1784228756395,1784228753743
13.88,-9.7,1784228756428,1784228753770
13.93,-1.7,1784228756462,1784228753812
13.95,-5.7,1784228756495,1784228753841
14.00,1.3,1784228756529,1784228753882
14.02,-4.7,1784228756563,1784228753910
14.07,3.3,1784228756596,1784228753951
14.09,-0.7,1784228756630,1784228753981
14.12,-6.7,1784228756663,1784228754008
14.16,1.3,1784228756697,1784228754050
14.19,-5.7,1784228756731,1784228754077
14.22,-8.7,1784228756762,1784228754105
14.26,-0.7,1784228756796,1784228754147
14.29,-7.7,1784228756831,1784228754175
14.33,0.3,1784228756865,1784228754217
14.36,-5.7,1784228756898,1784228754244
14.40,3.3,1784228756932,1784228754287
14.43,-3.7,1784228756965,1784228754313
14.46,-9.7,1784228757000,1784228754342
14.50,-0.7,1784228757032,1784228754383
14.52,-6.7,1784228757066,1784228754411
14.57,1.3,1784228757100,1784228754453
14.60,-2.7,1784228757132,1784228754481
14.62,-9.7,1784228757167,1784228754509
14.67,1.3,1784228757199,1784228754552
14.69,-6.7,1784228757234,1784228754579
14.73,0.3,1784228757267,1784228754619
14.76,-4.7,1784228757301,1784228754648
14.79,-10.7,1784228757335,1784228754676
14.83,-2.7,1784228757369,1784228754718
14.86,-7.7,1784228757402,1784228754746
14.90,0.3,1784228757435,1784228754787
14.93,-5.7,1784228757468,1784228754814
14.97,3.3,1784228757502,1784228754857
15.00,-1.7,1784228757536,1784228754886
15.03,-8.7,1784228757569,1784228754912
15.07,-0.7,1784228757603,1784228754954
15.10,-4.7,1784228757636,1784228754983
15.14,1.3,1784228757670,1784228755023
15.17,-3.7,1784228757704,1784228755052
15.19,-9.7,1784228757738,1784228755080
15.23,-0.7,1784228757770,1784228755121
15.26,-6.1,1784228757805,1784228755150
15.31,1.9,1784228757838,1784228755191
15.33,-4.1,1784228757872,1784228755219
15.37,2.9,1784228757906,1784228755260
15.40,-2.1,1784228757939,1784228755288
15.43,-7.1,1784228757972,1784228755316
15.47,0.9,1784228758006,1784228755358
15.50,-6.1,1784228758040,1784228755385
15.53,-9.1,1784228758073,1784228755415
15.57,-3.1,1784228758107,1784228755455
15.60,-7.1,1784228758140,1784228755484
15.64,-0.1,1784228758175,1784228755526
15.67,-6.1,1784228758208,1784228755553
15.71,1.9,1784228758242,1784228755595
15.74,-3.1,1784228758275,1784228755623
15.76,-10.1,1784228758309,1784228755650
15.81,0.9,1784228758341,1784228755693
15.83,-7.1,1784228758376,1784228755720
15.88,0.9,1784228758409,1784228755761
15.90,-4.1,1784228758443,1784228755790
15.93,-9.1,1784228758476,1784228755818
15.97,-1.1,1784228758509,1784228755859
16.00,-7.1,1784228758543,1784228755887
16.04,-0.1,1784228758578,1784228755929
16.07,-5.1,1784228758611,1784228755957
16.11,2.9,1784228758645,1784228755999
16.14,-3.1,1784228758678,1784228756026
16.17,-9.1,1784228758712,1784228756054
16.21,-1.1,1784228758746,1784228756096
16.24,-6.1,1784228758778,1784228756123
16.28,2.9,1784228758812,1784228756166
16.31,-4.1,1784228758847,1784228756194
16.35,1.9,1784228758882,1784228756235
16.38,-5.1,1784228758916,1784228756262
16.42,4.9,1784228758949,1784228756305
16.45,-0.1,1784228758981,1784228756332
16.47,-5.1,1784228759014,1784228756360
16.52,1.9,1784228759049,1784228756402
16.54,-2.1,1784228759081,1784228756430
16.57,-7.1,1784228759115,1784228756459
16.61,-1.1,1784228759149,1784228756499
16.64,-5.1,1784228759182,1784228756528
16.68,2.9,1784228759215,1784228756569
16.71,-3.1,1784228759250,1784228756598
16.75,5.9,1784228759283,1784228756640
16.78,-1.1,1784228759317,1784228756667
16.81,-9.1,1784228759352,1784228756694
16.85,0.9,1784228759384,1784228756736
16.88,-4.1,1784228759417,1784228756764
16.92,3.9,1784228759451,1784228756806
16.95,-3.1,1784228759485,1784228756833
16.98,-8.1,1784228759519,1784228756862
17.02,0.9,1784228759553,1784228756905
17.04,-6.1,1784228759585,1784228756930
17.09,2.9,1784228759618,1784228756972
17.12,-3.1,1784228759653,1784228757001
17.14,-8.1,1784228759686,1784228757029
17.18,-1.1,1784228759720,1784228757070
17.21,-7.1,1784228759753,1784228757097
17.25,1.9,1784228759787,1784228757140
