TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
9.10,1.5,1784231183222,1784231180506
9.12,-5.5,1784231183255,1784231180532
9.16,2.5,1784231183289,1784231180574
9.19,-3.5,1784231183323,1784231180602
9.23,5.5,1784231183356,1784231180644
9.26,-0.5,1784231183390,1784231180672
9.30,6.5,1784231183424,1784231180713
9.33,2.5,1784231183457,1784231180742
9.36,-4.5,1784231183490,1784231180768
9.40,3.5,1784231183525,1784231180811
9.43,-1.5,1784231183558,1784231180839
9.47,7.5,1784231183591,1784231180881
9.50,3.5,1784231183625,1784231180911
9.53,-4.5,1784231183659,1784231180937
9.57,3.5,1784231183692,1784231180978
9.60,-2.5,1784231183726,1784231181006
9.64,6.5,1784231183759,1784231181048
9.67,1.5,1784231183793,1784231181077
9.69,-4.5,1784231183826,1784231181104
9.74,2.5,1784231183860,1784231181145
9.76,-3.5,1784231183894,1784231181173
9.81,5.5,1784231183927,1784231181215
9.83,0.5,1784231183961,1784231181244
9.88,9.5,1784231183994,1784231181286
9.90,2.5,1784231184028,1784231181313
9.93,-2.5,1784231184061,1784231181341
9.97,4.5,1784231184095,1784231181382
10.00,-3.5,1784231184130,1784231181409
10.04,6.5,1784231184163,1784231181452
10.07,0.5,1784231184196,1784231181479
10.10,-4.5,1784231184230,1784231181508
10.14,3.5,1784231184263,1784231181549
10.17,-2.5,1784231184297,1784231181577
10.21,6.5,1784231184330,1784231181619
10.24,-0.5,1784231184365,1784231181647
10.27,-3.5,1784231184398,1784231181677
10.31,2.5,1784231184432,1784231181717
10.34,-2.5,1784231184465,1784231181745
10.38,6.5,1784231184498,1784231181787
10.41,-0.5,1784231184532,1784231181814
10.45,8.5,1784231184565,1784231181856
10.47,2.5,1784231184599,1784231181884
10.50,-1.5,1784231184633,1784231181914
10.54,5.5,1784231184666,1784231181954
10.57,-2.5,1784231184700,1784231181980
10.61,6.5,1784231184733,1784231182022
10.64,0.5,1784231184767,1784231182050
10.67,-5.5,1784231184801,1784231182078
10.71,2.5,1784231184835,1784231182120
10.74,-2.5,1784231184868,1784231182148
10.78,4.5,1784231184902,1784231182189
10.81,-0.5,1784231184935,1784231182217
10.85,8.5,1784231184969,1784231182260
10.88,2.5,1784231185003,1784231182288
10.91,-2.5,1784231185035,1784231182315
10.95,4.5,1784231185070,1784231182357
10.97,-1.5,1784231185103,1784231182384
11.01,-3.5,1784231185137,1784231182416
11.04,1.5,1784231185170,1784231182454
11.07,-5.1,1784231185204,1784231182481
11.11,3.9,1784231185237,1784231182523
11.14,-2.1,1784231185271,1784231182551
11.18,5.9,1784231185306,1784231182594
11.21,0.9,1784231185338,1784231182621
11.25,9.9,1784231185372,1784231182664
11.28,2.9,1784231185406,1784231182691
11.31,-4.1,1784231185440,1784231182718
11.35,5.9,1784231185472,1784231182760
11.38,-0.1,1784231185506,1784231182788
11.42,7.9,1784231185540,1784231182830
11.45,0.9,1784231185574,1784231182857
11.48,-3.1,1784231185607,1784231182886
11.52,4.9,1784231185640,1784231182927
11.55,-1.1,1784231185674,1784231182955
11.59,5.9,1784231185709,1784231182997
11.62,0.9,1784231185742,1784231183025
11.64,-4.1,1784231185775,1784231183053
11.68,2.9,1784231185809,1784231183094
11.71,-3.1,1784231185843,1784231183122
11.76,8.9,1784231185876,1784231183167
11.78,0.9,1784231185909,1784231183192
11.82,8.9,1784231185943,1784231183234
11.85,2.9,1784231185976,1784231183261
11.88,-4.1,1784231186011,1784231183289
11.92,3.9,1784231186045,1784231183331
11.95,-0.1,1784231186077,1784231183359
11.99,6.9,1784231186111,1784231183400
12.02,0.9,1784231186145,1784231183428
12.05,-5.1,1784231186179,1784231183456
12.09,3.9,1784231186212,1784231183498
12.12,-1.1,1784231186245,1784231183526
12.16,6.9,1784231186279,1784231183568
12.19,0.9,1784231186312,1784231183595
12.21,-4.1,1784231186346,1784231183624
12.26,5.9,1784231186380,1784231183668
12.28,-2.1,1784231186413,1784231183693
12.33,6.9,1784231186446,1784231183735
12.35,-0.1,1784231186481,1784231183763
12.39,7.9,1784231186515,1784231183805
12.42,0.9,1784231186549,1784231183832
12.45,-2.1,1784231186581,1784231183861
12.49,4.9,1784231186615,1784231183902
12.52,-1.1,1784231186649,1784231183930
12.56,6.9,1784231186682,1784231183971
12.59,-0.1,1784231186716,1784231183998
12.62,-5.1,1784231186750,1784231184027
12.66,2.9,1784231186784,1784231184069
12.69,-2.1,1784231186817,1784231184097
12.73,6.9,1784231186850,1784231184139
12.76,2.9,1784231186884,1784231184169
12.78,-5.1,1784231186917,1784231184194
12.83,3.9,1784231186951,1784231184237
12.85,-4.1,1784231186985,1784231184263
12.90,4.9,1784231187019,1784231184306
12.92,0.9,1784231187051,1784231184334
12.97,7.9,1784231187085,1784231184375
12.99,-1.1,1784231187122,1784231184403
13.02,-4.1,1784231187153,1784231184431
13.06,5.9,1784231187187,1784231184475
13.09,-1.6,1784231187221,1784231184501
13.13,8.4,1784231187255,1784231184545
13.17,14.4,1784231187288,1784231184584
13.20,8.4,1784231187321,1784231184611
13.23,2.4,1784231187355,1784231184639
13.26,-0.6,1784231187388,1784231184669
13.30,5.4,1784231187422,1784231184709
13.33,0.4,1784231187455,1784231184737
13.37,8.4,1784231187488,1784231184778
13.40,1.4,1784231187523,1784231184806
13.43,-3.6,1784231187557,1784231184835
13.47,4.4,1784231187591,1784231184877
13.49,-0.6,1784231187624,1784231184905
13.54,6.4,1784231187657,1784231184945
13.56,0.4,1784231187691,1784231184973
13.59,-3.6,1784231187724,1784231185002
13.63,3.4,1784231187758,1784231185043
13.66,-1.6,1784231187791,1784231185071
13.70,7.4,1784231187824,1784231185113
13.73,-0.6,1784231187859,1784231185140
13.77,8.4,1784231187892,1784231185182
13.80,2.4,1784231187926,1784231185210
13.83,-1.6,1784231187958,1784231185238
13.87,5.4,1784231187993,1784231185280
13.90,0.4,1784231188026,1784231185308
13.94,7.4,1784231188060,1784231185349
13.97,2.4,1784231188094,1784231185378
14.00,-3.6,1784231188127,1784231185405
14.04,5.4,1784231188161,1784231185448
14.07,-0.6,1784231188194,1784231185475
14.11,6.4,1784231188228,1784231185516
14.14,1.4,1784231188262,1784231185545
14.16,-3.6,1784231188295,1784231185573
14.20,3.4,1784231188329,1784231185614
14.23,-1.6,1784231188362,1784231185642
14.27,6.4,1784231188396,1784231185684
14.30,1.4,1784231188429,1784231185712
14.34,7.4,1784231188464,1784231185753
