timestamp,rtt_ms,jitter_ms,cmd_hz,tasa_perdida_pct
21:52:17.200,14.1,0.4,0.0,0.0
21:52:22.200,14.1,0.4,0.0,0.0
21:52:27.196,8.6,2.8,0.0,0.0
21:52:32.195,14.1,2.3,0.0,0.0
21:52:37.194,14.4,2.2,0.0,0.0
21:52:42.207,13.6,1.9,35.9,0.0
21:52:47.205,14.7,1.7,35.9,0.0
21:52:52.204,14.8,1.7,35.9,0.0
21:52:57.202,13.7,1.6,35.9,0.0
21:53:02.200,13.9,1.5,35.9,0.0
21:53:07.560,14.5,1.4,35.9,0.0
21:53:12.558,14.1,1.4,35.9,0.0
21:53:17.557,13.8,1.3,35.9,0.0
21:53:22.555,12.9,1.3,35.9,0.0
21:53:27.554,13.9,0.5,35.9,0.0
21:53:32.566,13.3,0.6,35.9,0.0
21:53:37.564,14.5,0.6,35.9,0.0
21:53:42.563,13.5,0.6,35.9,0.0
21:53:47.561,13.7,0.5,35.9,0.0
21:53:52.559,14.0,0.5,35.9,0.0
21:53:57.557,13.5,0.4,35.9,0.0
21:54:02.555,13.7,0.4,35.9,0.0
21:54:07.554,13.6,0.4,35.9,0.0
21:54:12.566,14.1,0.4,35.9,0.0
21:54:17.564,13.6,0.5,35.9,0.0
21:54:22.563,14.4,0.4,35.9,0.0
21:54:27.562,14.0,0.4,35.9,0.0
21:54:32.559,14.3,0.4,35.9,0.0
21:54:37.558,15.0,0.5,35.9,0.0
21:54:42.555,13.5,0.5,35.9,0.0
21:54:47.554,13.8,0.5,35.9,0.0
21:54:52.552,13.9,0.5,35.9,0.0
21:54:57.565,14.1,0.5,35.9,0.0
21:55:02.563,13.0,0.5,35.9,0.0
21:55:07.561,14.5,0.5,35.9,0.0
21:55:12.560,14.5,0.5,35.9,0.0
21:55:17.557,14.3,0.4,35.8,0.0
21:55:22.557,14.7,0.5,35.9,0.0
21:55:27.554,13.4,0.5,35.9,0.0
21:55:32.552,13.9,0.5,35.9,0.0
21:55:37.565,13.8,0.4,35.9,0.0
21:55:42.563,13.8,0.4,35.9,0.0
21:55:47.562,13.0,0.5,35.9,0.0
21:55:52.560,14.6,0.5,35.9,0.0
21:55:57.558,13.7,0.5,35.9,0.0
21:56:02.557,13.9,0.5,35.9,0.0
21:56:07.556,14.6,0.5,35.9,0.0
21:56:12.553,13.8,0.5,35.9,0.0
21:56:17.566,14.5,0.5,35.9,0.0
21:56:22.564,13.6,0.5,35.9,0.0
21:56:27.563,13.9,0.5,35.9,0.0
21:56:32.560,14.6,0.5,35.9,0.0
21:56:37.559,14.4,0.5,35.9,0.0
21:56:42.558,14.1,0.5,35.9,0.0
21:56:47.556,13.2,0.5,35.9,0.0
21:56:52.554,13.9,0.5,35.9,0.0
21:56:57.553,13.3,0.5,35.9,0.0
21:57:02.563,14.1,0.5,35.3,0.0
21:57:07.563,14.6,0.5,35.9,0.0
21:57:12.561,14.7,0.5,35.9,0.0
21:57:17.560,13.5,0.5,35.9,0.0
21:57:22.557,13.7,0.5,35.9,0.0
21:57:27.556,14.1,0.5,35.9,0.0
21:57:32.554,13.1,0.5,34.9,0.0
21:57:37.554,14.3,0.5,35.9,0.0
21:57:42.566,12.6,0.6,35.9,0.0
21:57:47.563,14.0,0.5,35.9,0.0
21:57:52.561,13.5,0.5,35.9,0.0
21:57:57.560,14.1,0.5,35.9,0.0
21:58:02.879,14.4,0.5,35.9,0.0
