ensayo_num,timestamp_iso,perf_counter_s,estado_origen,estado_destino,eje,amplitud_cm,x_target,y_target,z_target,cmd_json
1,2026-08-28T14:01:12.845644,266592.278678,A,B,y,12.0,20.0,6.0,15.0,"{""T"": 1041, ""x"": 200, ""y"": 60, ""z"": 150, ""t"": 1.8}"
2,2026-08-28T14:01:15.337733,266594.777989,B,A,y,12.0,20.0,-6.0,15.0,"{""T"": 1041, ""x"": 200, ""y"": -60, ""z"": 150, ""t"": 1.8}"
3,2026-08-28T14:01:17.624377,266597.055456,A,B,y,12.0,20.0,6.0,15.0,"{""T"": 1041, ""x"": 200, ""y"": 60, ""z"": 150, ""t"": 1.8}"
