timestamp,rtt_ms,jitter_ms,cmd_hz,tasa_perdida_pct
00:00:15.366,537.3,0.0,0.0,0.0
00:00:20.388,201.2,189.5,0.0,0.0
00:00:25.403,108.1,179.7,0.0,0.0
00:00:30.407,489.7,186.6,0.0,0.0
00:00:35.394,177.0,169.3,0.0,0.0
00:00:40.433,123.6,163.0,0.0,0.0
00:00:45.375,157.6,150.9,0.0,0.0
00:00:50.450,81.2,145.3,0.0,0.0
00:00:55.425,550.8,169.0,0.0,0.0
00:01:00.656,83.7,161.0,0.0,0.0
00:01:05.658,74.7,154.5,0.0,0.0
00:01:10.637,117.8,151.3,0.0,0.0
00:01:15.656,710.1,170.8,0.0,0.0
00:01:20.668,113.4,170.2,0.0,0.0
00:01:25.736,113.4,170.2,0.0,0.0
00:01:30.636,113.4,170.2,0.0,0.0
00:01:35.677,72.8,251.3,0.0,0.0
00:01:40.646,106.9,246.4,0.0,0.0
00:01:45.705,121.6,247.3,0.0,0.0
00:01:50.721,102.8,249.0,0.0,0.0
00:01:55.725,138.1,249.3,0.0,0.0
00:02:00.654,121.5,247.7,0.0,0.0
00:02:05.635,69.9,239.7,21.9,0.0
00:02:10.635,110.9,239.2,35.9,0.0
00:02:15.634,43.0,241.2,35.9,0.0
00:02:20.633,55.9,243.9,35.9,0.0
00:02:25.631,69.4,211.4,35.9,0.0
00:02:30.629,55.1,212.5,35.9,0.0
00:02:35.641,69.2,28.1,35.9,0.0
00:02:40.639,472.6,89.6,35.9,0.0
00:02:45.637,208.5,92.9,35.9,0.0
00:02:50.635,96.7,92.7,35.9,0.0
00:02:55.632,124.4,92.5,35.9,0.0
00:03:00.630,69.9,92.7,1.0,0.0
00:03:05.628,69.9,92.7,0.0,0.0
00:03:10.639,84.2,92.2,0.0,0.0
00:03:15.638,96.9,92.0,35.9,0.0
00:03:20.636,83.2,93.2,35.9,0.0
00:03:25.633,69.8,92.9,35.9,0.0
00:03:30.631,125.2,92.1,35.9,0.0
00:03:35.629,69.5,90.9,35.9,0.0
00:03:40.628,97.9,90.0,35.9,0.0
00:03:45.639,97.9,38.8,35.9,0.0
00:03:50.637,69.5,31.1,35.9,0.0
00:03:55.635,70.3,31.5,35.9,0.0
00:04:00.632,55.5,37.4,35.9,0.0
00:04:05.631,195.0,42.9,35.9,0.0
00:04:10.628,306.2,60.8,35.9,0.0
00:04:15.639,69.5,62.6,35.9,0.0
00:04:20.639,83.2,60.4,35.9,0.0
00:04:25.635,69.5,60.5,35.9,0.0
00:04:30.633,55.1,61.4,35.9,0.0
00:04:35.631,69.5,60.9,35.9,0.0
00:04:40.630,56.6,61.7,35.9,0.0
00:04:45.628,55.5,62.8,35.9,0.0
00:04:50.639,111.4,63.0,35.9,0.0
00:04:55.637,153.2,63.9,35.9,0.0
00:05:00.633,70.0,60.8,35.9,0.0
00:05:05.632,83.4,71.0,35.9,0.0
00:05:10.630,56.4,52.8,35.9,0.0
00:05:15.628,111.7,58.6,35.9,0.0
00:05:20.641,290.6,72.1,35.9,0.0
00:05:25.638,180.8,73.2,35.9,0.0
00:05:36.035,277.8,80.6,0.0,0.0
00:05:41.036,277.8,80.6,0.0,0.0
00:05:46.033,1071.5,220.4,0.0,0.0
00:05:51.031,42.1,221.1,0.0,0.0
00:05:56.029,42.0,222.5,35.9,0.0
00:06:01.055,69.0,222.1,36.0,0.0
00:06:06.053,209.2,221.1,35.9,0.0
00:06:11.051,56.5,228.4,35.9,0.0
00:06:16.049,83.6,228.0,35.9,0.0
00:06:21.047,69.7,228.7,35.9,0.0
00:06:26.044,69.0,228.4,35.9,0.0
00:06:31.043,83.2,229.0,35.9,0.0
00:06:36.055,320.1,230.2,35.9,0.0
00:06:41.053,152.9,231.0,35.9,0.0
00:06:46.050,70.3,108.9,35.9,0.0
00:06:51.048,55.3,108.7,35.9,0.0
00:06:56.046,153.3,96.8,36.0,0.0
00:07:04.841,55.9,97.2,32.9,0.0
00:07:09.843,55.9,97.2,0.0,0.0
00:07:14.837,83.9,96.9,0.0,0.0
00:07:19.837,1114.6,474.3,0.0,0.0
00:07:24.836,111.2,473.9,0.0,0.0
00:07:29.834,208.5,472.9,35.9,0.0
00:07:34.831,69.3,474.4,35.9,0.0
00:07:39.843,180.4,471.4,35.9,0.0
00:07:44.842,55.8,473.1,35.9,0.0
00:07:49.839,473.0,473.5,35.9,0.0
00:07:54.837,56.2,474.4,35.9,0.0
00:07:59.835,293.2,471.9,35.9,0.0
00:08:04.833,69.5,472.7,35.9,0.0
00:08:09.832,250.8,473.6,35.9,0.0
00:08:14.842,56.1,250.4,35.9,0.0
00:08:19.841,153.0,143.1,35.9,0.0
00:08:24.839,167.1,140.6,35.9,0.0
00:08:29.837,125.4,138.7,35.9,0.0
00:08:34.836,70.1,138.7,35.9,0.0
00:08:39.833,403.9,150.1,35.9,0.0
00:08:44.831,56.7,150.3,35.9,0.0
00:08:49.833,320.6,139.0,35.9,0.0
00:08:54.841,55.5,140.8,35.9,0.0
00:08:59.837,181.2,136.8,35.9,0.0
00:09:04.836,306.6,137.0,35.9,0.0
00:09:09.834,97.4,101.9,35.9,0.0
00:09:14.832,125.8,99.9,35.9,0.0
00:09:19.843,97.8,100.6,35.9,0.0
00:09:24.841,180.7,102.6,36.0,0.0
00:09:29.839,153.7,104.0,35.9,0.0
00:09:34.837,96.7,103.1,35.9,0.0
00:09:39.835,55.8,86.2,35.9,0.0
00:09:44.833,111.3,91.7,35.9,0.0
00:09:49.831,139.3,83.1,35.9,0.0
00:09:54.843,69.4,81.3,35.9,0.0
00:09:59.843,212.4,80.3,35.9,0.0
00:10:04.839,69.8,72.8,35.9,0.0
00:10:09.838,55.5,73.1,35.9,0.0
00:10:14.835,69.7,73.1,35.9,0.0
00:10:19.832,292.1,92.9,35.9,0.0
00:10:24.845,139.6,92.0,35.9,0.0
00:10:29.842,56.1,94.4,35.9,0.0
00:10:34.840,98.4,94.4,35.9,0.0
00:10:39.838,180.7,93.1,35.9,0.0
00:10:44.836,42.7,84.2,35.9,0.0
00:10:49.834,56.4,85.5,35.9,0.0
00:10:54.832,82.6,85.1,35.9,0.0
00:10:59.844,70.4,83.4,35.9,0.0
00:11:04.843,209.5,85.3,35.9,0.0
00:11:09.840,98.7,85.4,35.9,0.0
00:11:14.838,153.5,68.5,35.9,0.0
00:11:19.836,83.3,55.5,35.9,0.0
00:11:24.835,56.5,55.5,35.9,0.0
00:11:29.832,111.1,54.7,35.9,0.0
00:11:34.844,42.7,56.7,35.9,0.0
00:11:39.843,56.3,56.2,35.9,0.0
00:11:44.840,55.8,55.6,35.9,0.0
00:11:49.838,68.8,55.2,35.9,0.0
00:11:54.835,98.3,50.1,35.9,0.0
00:11:59.834,69.3,51.4,35.9,0.0
00:12:04.831,194.7,49.8,35.9,0.0
00:12:09.843,68.8,50.0,35.9,0.0
00:12:14.841,139.3,42.0,35.9,0.0
00:12:19.839,55.6,42.5,35.9,0.0
00:12:24.838,55.5,45.9,35.9,0.0
00:12:29.835,153.6,44.9,35.9,0.0
00:12:34.832,264.2,58.7,35.9,0.0
00:12:39.845,55.7,58.1,35.9,0.0
00:12:44.842,55.7,63.5,35.9,0.0
00:12:49.841,97.9,63.0,35.9,0.0
00:12:54.839,125.0,63.1,35.9,0.0
00:12:59.836,56.5,62.9,35.9,0.0
00:13:04.834,41.0,61.1,35.9,0.0
00:13:09.832,320.7,76.2,35.9,0.0
00:13:14.845,41.1,84.6,35.9,0.0
00:13:19.843,111.1,83.5,35.9,0.0
00:13:24.840,83.8,82.6,35.9,0.0
00:13:29.837,42.5,82.8,35.9,0.0
00:13:34.835,42.5,77.4,35.9,0.0
00:13:39.835,153.0,77.3,35.9,0.0
00:13:44.831,251.5,79.1,35.9,0.0
00:13:49.843,55.4,80.1,35.9,0.0
00:13:54.841,139.2,79.5,35.9,0.0
00:13:59.839,124.7,91.4,35.9,0.0
00:14:04.837,82.9,89.7,35.9,0.0
00:14:09.835,223.2,81.9,35.9,0.0
00:14:14.834,152.8,73.8,35.9,0.0
00:14:19.830,42.3,76.0,35.9,0.0
00:14:24.841,98.1,77.4,35.9,0.0
00:14:29.840,194.8,78.1,35.9,0.0
00:14:34.838,125.4,75.4,36.0,0.0
00:14:46.153,41.4,76.9,0.0,0.0
00:14:51.155,41.4,76.9,0.0,0.0
00:14:56.165,877.0,179.5,0.0,0.0
00:15:01.164,70.3,179.7,0.0,0.0
00:15:06.163,194.7,179.0,35.9,0.0
00:15:11.159,42.2,180.9,35.9,0.0
00:15:16.158,126.3,176.7,35.9,0.0
00:15:21.156,56.2,178.3,35.9,0.0
00:15:26.154,97.6,177.6,35.9,0.0
00:15:31.166,56.1,192.0,35.9,0.0
00:15:36.163,124.5,190.9,35.9,0.0
00:15:41.161,42.0,192.0,35.9,0.0
00:15:46.159,56.3,194.5,35.9,0.0
00:15:51.157,41.0,194.5,35.9,0.0
00:15:56.155,83.3,100.8,35.9,0.0
