timestamp,rtt_ms,jitter_ms,cmd_hz,tasa_perdida_pct
19:47:41.554,13.6,0.7,0.0,0.0
19:47:46.551,13.6,0.7,0.0,0.0
19:47:51.549,13.5,0.7,0.0,0.0
19:47:56.560,12.2,0.9,0.0,0.0
19:48:01.559,14.5,0.8,0.0,0.0
19:48:06.556,13.9,0.8,0.0,0.0
19:48:11.554,13.6,0.7,0.0,0.0
19:48:16.553,13.3,0.7,35.9,0.0
19:48:21.551,14.1,0.7,35.9,0.0
19:48:26.549,13.6,0.6,35.9,0.0
19:48:31.561,13.5,0.8,35.9,0.0
19:48:36.559,14.4,0.8,35.9,0.0
19:48:41.557,13.1,0.8,35.9,0.0
19:48:46.555,13.9,0.8,35.9,0.0
19:48:51.552,13.9,0.8,2.0,0.0
19:48:56.550,13.9,0.8,0.0,0.0
19:49:01.548,12.9,0.8,0.0,0.0
19:49:06.560,13.4,0.8,0.0,0.0
19:49:11.557,12.8,0.8,0.0,0.0
19:49:16.555,13.7,0.8,35.9,0.0
19:49:21.553,13.5,0.8,35.9,0.0
19:49:26.552,14.5,0.8,35.9,0.0
19:49:31.550,13.0,0.8,35.9,0.0
19:49:36.562,14.7,0.6,35.9,0.0
19:49:41.559,14.1,0.6,36.0,0.0
19:49:46.557,14.2,0.6,36.0,0.0
19:49:51.555,13.7,0.6,35.9,0.0
19:49:56.552,14.0,0.6,35.9,0.0
19:50:01.551,14.0,0.6,35.9,0.0
19:50:06.548,13.4,0.5,35.9,0.0
19:50:11.559,14.1,0.5,35.9,0.0
19:50:16.558,14.6,0.5,35.9,0.0
19:50:21.556,25.7,2.6,36.0,0.0
19:50:26.555,14.4,2.6,35.9,0.0
19:50:31.552,14.0,2.6,35.9,0.0
19:50:36.550,14.0,2.6,35.9,0.0
19:50:41.562,13.4,2.6,35.9,0.0
19:50:46.559,15.0,2.6,35.9,0.0
19:50:51.558,13.4,2.6,35.9,0.0
19:50:56.556,13.7,2.6,35.9,0.0
19:51:01.554,14.5,2.6,35.9,0.0
19:51:06.550,14.2,2.6,35.9,0.0
19:51:11.550,14.6,2.6,35.9,0.0
19:51:16.562,12.7,2.6,35.9,0.0
19:51:21.558,13.3,0.6,35.9,0.0
19:51:26.555,27.5,3.0,33.9,0.0
19:51:31.554,13.1,3.0,35.9,0.0
19:51:36.552,16.0,3.0,35.9,0.0
19:51:41.549,13.8,3.0,35.9,0.0
19:51:46.561,13.5,3.0,35.0,0.0
19:51:51.560,13.2,3.0,35.9,0.0
19:51:56.557,13.9,3.0,36.0,0.0
