timestamp,rtt_ms,jitter_ms,cmd_hz,tasa_perdida_pct
10:41:07.857,0.0,0.0,0.0,0.0
10:41:12.855,57.2,0.0,0.0,33.3
10:41:17.853,27.5,14.8,0.0,50.0
10:41:22.852,45.7,12.5,13.0,33.3
10:41:27.849,14.1,14.1,71.8,25.0
10:41:32.861,55.9,14.8,71.8,22.2
10:41:37.857,28.0,13.6,62.9,18.2
10:41:42.857,55.8,15.2,71.8,15.4
10:41:47.854,27.4,14.8,71.9,14.3
10:41:52.852,27.5,14.0,71.8,12.5
10:41:57.850,41.6,13.3,71.9,11.1
10:42:02.848,28.0,13.0,71.8,10.5
10:42:07.860,28.2,13.3,71.9,9.5
10:42:12.858,55.5,12.9,71.8,8.7
10:42:17.855,41.9,12.9,71.8,8.3
10:42:22.854,27.8,12.7,71.8,7.7
10:42:27.852,41.9,12.0,71.9,7.1
10:42:32.850,28.1,11.1,71.8,6.9
10:42:37.862,28.4,11.7,71.8,6.5
10:42:42.860,56.1,11.0,71.9,6.1
10:42:47.857,42.4,11.1,71.8,5.9
10:42:52.855,41.9,13.4,71.8,5.6
10:42:57.853,41.7,13.4,71.9,5.3
