t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.091,0.572,0.501,1.0,,1787654158073.917,22.535,32.72,24.32,0.35,1787654158073.917,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.105,0.565,0.519,1.0,,1787654158099.8745,23.165,31.6,23.9,0.35,1787654158101.676,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.119,0.565,0.537,1.0,,1787654158156.3652,23.795,30.48,23.9,0.35,1787654158156.3652,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.126,0.563,0.544,1.0,,1787654158322.5469,24.04,29.92,23.78,0.35,1787654158324.5413,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.162,0.558,0.601,1.0,,1787654158367.9253,26.035,27.04,23.48,0.35,1787654158367.9253,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.17,0.557,0.611,1.0,,1787654158407.0466,26.385,26.4,23.42,0.35,1787654158407.9983,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.178,0.554,0.622,1.0,,1787654158433.5208,26.77,25.76,23.24,0.35,1787654158433.5208,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.192,0.55,0.639,1.0,,1787654158489.4255,27.365,24.64,23.0,0.35,1787654158489.4255,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.199,0.549,0.644,1.0,,1787654158517.7983,27.54,24.08,22.94,0.35,1787654158517.7983,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.207,0.548,0.653,1.0,,1787654158568.8794,27.855,23.44,22.88,0.35,1787654158569.7175,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.209,0.547,0.656,1.0,,1787654158601.2903,27.96,23.28,22.82,0.35,1787654158603.6804,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.214,0.546,0.665,1.0,,1787654158655.8364,28.275,22.88,22.76,0.35,1787654158658.0188,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
,0.217,0.544,0.671,1.0,,1787654158683.1484,28.485,22.64,22.64,0.35,1787654158683.1484,False,,,4,OP1,C3_WIFI_CARGA_ALTA,medio
