timestamp,rtt_ms,jitter_ms,cmd_hz,tasa_perdida_pct
23:59:36.154,0.0,0.0,0.0,0.0
23:59:41.149,28.4,7.1,0.0,0.0
23:59:46.148,53.6,16.3,0.0,0.0
23:59:51.145,13.3,16.3,0.0,0.0
23:59:56.143,56.1,18.3,0.0,0.0
00:00:01.143,14.1,17.9,71.8,0.0
00:00:06.156,41.7,16.5,71.8,0.0
00:00:11.153,83.6,21.9,71.8,0.0
00:00:16.152,28.4,21.2,71.8,0.0
00:00:21.150,14.1,30.6,71.8,0.0
00:00:26.148,42.0,28.9,71.8,0.0
00:00:31.146,55.6,28.3,71.8,0.0
00:00:36.145,42.0,27.6,71.8,0.0
00:00:41.143,69.4,27.2,71.8,0.0
00:00:46.156,41.8,27.1,71.8,0.0
00:00:51.154,69.8,25.0,71.9,0.0
00:00:56.152,28.8,26.5,46.9,0.0
00:01:01.150,55.6,25.4,0.0,0.0
00:01:06.149,14.0,26.2,0.0,0.0
00:01:11.147,55.8,25.0,0.0,0.0
00:01:16.146,13.8,25.7,71.8,0.0
00:01:21.143,42.3,18.4,71.9,0.0
00:01:26.156,83.8,20.7,71.8,0.0
00:01:31.154,40.5,20.7,71.8,0.0
