timestamp,rtt_ms,jitter_ms,cmd_hz,tasa_perdida_pct
16:53:58.855,13.6,0.0,0.0,0.0
16:54:03.879,13.6,0.0,0.0,0.0
16:54:08.857,13.3,0.5,0.0,0.0
16:54:13.859,13.5,0.4,0.0,0.0
16:54:18.857,15.1,0.6,36.5,0.0
16:54:23.856,14.8,0.6,35.5,0.0
16:54:28.854,14.1,0.6,36.5,0.0
16:54:33.866,13.3,0.6,36.0,0.0
16:54:38.865,13.9,0.6,35.5,0.0
16:54:43.987,14.1,0.6,25.4,0.0
16:54:48.986,14.2,0.5,36.5,0.0
16:54:53.983,13.4,0.5,35.5,0.0
16:54:58.982,13.3,0.5,35.5,0.0
16:55:03.979,13.4,0.5,35.5,0.0
16:55:08.978,13.0,0.5,17.8,0.0
16:55:13.976,13.0,0.5,0.0,0.0
16:55:18.975,13.0,0.5,0.0,0.0
16:55:23.987,13.0,0.5,0.0,0.0
16:55:28.985,13.0,0.5,0.0,0.0
16:55:33.984,13.0,0.5,0.0,0.0
16:55:38.982,13.0,0.5,0.0,0.0
16:55:44.057,13.0,0.5,0.0,0.0
16:55:49.054,13.0,0.5,0.0,0.0
16:55:54.052,13.0,0.5,0.0,0.0
16:55:59.051,13.0,0.5,0.0,0.0
16:56:04.054,13.0,0.5,0.0,0.0
16:56:09.057,13.0,0.5,0.0,0.0
16:56:14.054,13.0,0.5,0.0,0.0
16:56:19.052,13.0,0.5,0.0,0.0
16:56:24.054,13.0,0.5,0.0,0.0
16:56:29.051,13.0,0.5,0.0,0.0
16:56:34.057,13.0,0.5,0.0,0.0
16:56:39.052,13.0,0.5,0.0,0.0
16:56:44.057,13.0,0.5,0.0,0.0
