timestamp,rtt_ms,jitter_ms,cmd_hz,tasa_perdida_pct
12:23:31.964,14.8,0.0,0.0,0.0
12:23:36.961,14.8,0.0,0.0,0.0
12:23:41.959,13.8,0.5,0.0,0.0
12:23:46.959,14.3,0.5,35.9,0.0
12:23:51.971,13.8,0.4,35.9,0.0
12:23:56.969,56.0,21.3,35.9,0.0
12:24:01.967,42.5,46.2,35.9,0.0
12:24:06.965,55.6,44.2,35.9,0.0
12:24:11.963,55.8,40.9,35.9,0.0
12:24:16.971,55.5,39.4,35.9,0.0
12:24:22.013,153.2,45.8,35.9,0.0
12:24:27.012,55.6,55.8,35.9,0.0
12:24:32.010,56.2,54.0,35.9,0.0
12:24:37.008,153.7,55.9,35.9,0.0
12:24:42.006,69.8,52.9,35.9,0.0
12:24:47.003,194.9,54.0,35.9,0.0
12:24:52.002,55.9,51.7,35.9,0.0
12:24:57.014,42.1,55.4,35.9,0.0
12:25:02.010,97.0,53.1,35.9,0.0
12:25:07.009,55.3,53.1,33.9,0.0
12:25:12.006,69.3,52.7,35.9,0.0
12:25:17.005,97.2,52.2,35.9,0.0
12:25:22.002,306.7,68.6,35.9,0.0
12:25:27.015,70.0,64.6,35.9,0.0
12:25:32.012,42.4,69.4,35.9,0.0
12:25:37.009,55.9,69.0,35.9,0.0
12:25:42.008,278.8,83.1,35.9,0.0
12:25:47.006,70.0,81.9,35.9,0.0
12:25:52.004,56.3,81.9,35.9,0.0
12:25:57.002,251.3,86.0,35.9,0.0
12:26:02.014,236.3,90.2,35.9,0.0
12:26:07.012,83.8,89.4,35.9,0.0
12:26:12.009,195.0,88.9,35.0,0.0
12:26:17.007,222.5,90.3,35.9,0.0
12:26:22.005,42.2,84.4,35.9,0.0
12:26:27.003,69.1,85.1,35.9,0.0
12:26:32.015,41.9,83.7,35.9,0.0
12:26:37.013,110.9,82.0,35.9,0.0
12:26:42.011,139.9,72.0,35.9,0.0
12:26:47.008,56.0,70.8,35.9,0.0
12:26:52.006,181.4,69.9,35.9,0.0
12:26:57.004,585.0,118.2,35.9,0.0
